"z_NO_OSM","zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
,657538,"Recinte Firal de L'Hospitalet de Llobregat","Recinte Firal de L'Hospitalet de Llobregat","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Barcelona ",,2,,,"08901","Hospitalet de Llobregat, l'",81017,"Barcelonès","+34-932 615 200","932 615 200",425188817,4579313866,"2.105560860","41.361857813",,"http://www.lafarga.com","07/17/2024 07:01:42 AM","Entitat|La Farga Gestió d'Equipaments, S.A.|Superfície bruta|8.000 m2 |Superfície neta|--","POINT (2.1055608 41.36186)"
,657522,"Recinte Firal de Olot","Recinte Firal de Olot","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Madrid ",,2,,,17800,"Olot",171143,"Garrotxa","+34-972 260 152","972 260 152",456943968,4669222588,"2.478688696","42.173959829",,"http://www.dinamig.cat","07/17/2024 07:01:41 AM","Entitat|DinàmiG|Superfície bruta|1.620 m2 |Superfície neta|20.000 m2 ","POINT (2.4786887 42.17396)"
,657527,"Recinte Firal de Tarragona","Recinte Firal de Tarragona","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de l'Arquitecte Rovira ",,2,,,43001,"Tarragona",431482,"Tarragonès","+34-977 245 577","977 245 577",353235709,4552828908,"1.251950480","41.113497742",,"http://www.palautarragona.com/es/","07/17/2024 07:01:41 AM","Entitat|Palau Firal i de Congressos de Tarragona|Superfície bruta|2.225 m2 |Superfície neta|3.000 m2 ","POINT (1.2519505 41.1135)"
,657521,"Recinte Firal de Móra la Nova","Recinte Firal de Móra la Nova","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de la Imperial Tarraco",,2,,,43770,"Móra la Nova",430944,"Ribera d'Ebre","+34-977 400 347","977 400 347",302876271,4552581950,"0.652638927","41.100617332",,"http://www.moralanova.cat","07/17/2024 07:01:41 AM","Entitat|Ajuntament de Móra la Nova|Superfície bruta|1.097,85 m2|Superfície neta|10.000 m2 ","POINT (0.6526389 41.100616)"
,657535,"Recinte Firal de Cornellà de Llobregat","Recinte Firal de Cornellà de Llobregat","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Tirso de Molina",,34,,,"08940","Cornellà de Llobregat",80734,"Baix Llobregat","+34-934 740 202","934 740 202",423171807,4578037580,"2.081610114","41.350172973",,"http://www.firacornella.com","07/17/2024 07:01:42 AM","Entitat|Fira de Cornellà|Superfície bruta|7.700 m2 |Superfície neta|5.000 m2 ","POINT (2.0816102 41.350174)"
,657536,"Recinte Firal de Girona","Recinte Firal de Girona","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Passeig de la Devesa",,34,,,17001,"Girona",170792,"Gironès","+34-972 419 100","972 419 100",484427531,4648102197,"2.812011579","41.984768652",,"http://www.firagirona.com","07/17/2024 07:01:42 AM","Entitat|Fira de Girona|Superfície bruta|7.815 m2 |Superfície neta|46.879 m2 ","POINT (2.8120115 41.984768)"
,657523,"Recinte Firal de Reus","Recinte Firal de Reus","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de Bellisens",,40,,,43204,"Reus",431233,"Baix Camp","+34-977 326 363","977 326 363",342914280,4556270014,"1.128196261","41.142548360",,"http://www.firareus.com","07/17/2024 07:01:41 AM","Entitat|Fira de Reus|Superfície bruta|11.545 m2 |Superfície neta|17.800 m2 ","POINT (1.1281962 41.142548)"
,657534,"Recinte Firal de L'Hospitalet de Llobregat","Recinte Firal de L'Hospitalet de Llobregat","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de Joan Carles I",,64,,,"08940","Hospitalet de Llobregat, l'",81017,"Barcelonès","+34-903 23 32 00","903 23 32 00",426978138,4578470658,"2.127052979","41.354427625",,"http://www.firabcn.es","07/17/2024 07:01:42 AM","Entitat|Fira de Barcelona|Superfície bruta|121.864 m2|Superfície neta|53.349 m2","POINT (2.127053 41.354427)"
,657515,"Recinte Firal de Igualada","Recinte Firal de Igualada","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Lleida",,78,,,"08700","Igualada",81022,"Anoia","+34-938 040 102","938 040 102",385577114,4604467201,"1.627301576","41.583706998",,"http://www.firaigualada.org","07/17/2024 07:01:42 AM","Entitat|Fira d'Igualada|Superfície bruta|14.000 m2 |Superfície neta|4.000 m2 ","POINT (1.6273016 41.583706)"
,657524,"Recinte Firal de Sabadell","Recinte Firal de Sabadell","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de les Tres Creus",,202,,,"08203","Sabadell",81878,"Vallès Occidental","+34-93 748 60 00","93 748 60 00",426340566,4599759032,"2.116835238","41.546102521",,"http://www.firasabadell.cat/","07/17/2024 07:01:41 AM","Entitat|Fira de Sabadell|Superfície bruta|2.800 m2 |Superfície neta|395 m2 ","POINT (2.1168354 41.5461)"
,657528,"Recinte Firal de Terrassa","Recinte Firal de Terrassa","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Passeig del Vint-I-Dos de Juliol",,265,,,"08221","Terrassa",82798,"Vallès Occidental","+34-937 397 407","937 397 407",417280807,4602543942,"2.007841428","41.570297955",,"http://www.terrassa.cat","07/17/2024 07:01:41 AM","Entitat|Ajuntament de Terrassa. Servei de Comerç|Superfície bruta|2.800 m2 |Superfície neta|--","POINT (2.0078413 41.570297)"
,657537,"Recinte Firal de Granollers","Recinte Firal de Granollers","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Londres - Fluvial ( Firal)","yes",,,,"08401","Granollers",80961,"Vallès Oriental","+34-938 611 390","938 611 390",439749893,4605214486,"2.277049600","41.596360100",,,"07/17/2024 07:01:42 AM","Entitat|Granollers Mercat - Ajuntament de Granollers|Superfície neta|45.137 m2 ","POINT (2.2770495 41.59636)"
