IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,2TIPUS_VIA,2VIA,2SUFIX_VIA,NUM,PIS,PORTA,CPOSTAL,POBLACIO,CODI_MUNICIPI,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,Georeferència
574398,Jutjat de Pau de Cubells,Jutjat de Pau de Cubells,Justícia|Jutjats de pau||,, Cra Lleida- Puigcerdà s/n,,,,,,,,25737,Cubells,250791,Noguera,973459005,,973459005(F),398104366,4691925726,1.762394600,42.372933800,,,07/18/2024 07:02:40 AM,,POINT (1.7623945 42.372932)
574236,Jutjat de Pau de Franqueses del Vallès,Jutjat de Pau de Franqueses del Vallès,Justícia|Jutjats de pau||,," Cra. Ribes, 2",,,,,,,,8520,"Franqueses del Vallès, les",80863,Vallès Oriental,938465578,,938467428,441468219,4609637779,2.297234200,41.636326700,,,07/18/2024 07:02:51 AM,,POINT (2.2972343 41.636326)
574862,Jutjat de Pau de Camós,Jutjat de Pau de Camós,Justícia|Jutjats de pau||,," Croanyes, 2",,,,,,,,17834,Camós,170353,Pla de l'Estany,972573192,,972573192(F),480754221,4660231453,2.767270000,42.093930000,,,07/18/2024 07:02:45 AM,,POINT (2.76727 42.09393)
383933,Centre Civic i Cultural La Vinicola (PIJ),Centre Civic i Cultural La Vinicola (PIJ),Tecnologia. Innovació|Punt TIC||,," Crt. De Valls, 57",,,,,,,,8710,Santa Margarida de Montbui,82508,Anoia,93 804 14 03,,,57000,4603494419,1.608617207,41.574720511,umbrio@gmail.com,,10/19/2023 09:55:53 AM,,POINT (1.6086172 41.574722)
384357,Centre Penitenciari Brians Dones,Centre Penitenciari Brians Dones,Tecnologia. Innovació|Punt TIC||,, Crt. Martorell a Capellades Km. 23,,,,,,,,8635,Sant Esteve Sesrovires,82080,Baix Llobregat,93 775 80 00 ,,,401729383,4595085235,1.822566900,41.501368000,cpbriansdones@xarxaomnia.gencat.cat,,10/19/2023 09:55:52 AM,,POINT (1.8225669 41.50137)
384358,Centre Penitenciari Brians Homes,Centre Penitenciari Brians Homes,Tecnologia. Innovació|Punt TIC||,, Crt. Martorell a Capellades Km. 23,,,,,,,,8635,Sant Esteve Sesrovires,82080,Baix Llobregat,937713500,,,401729383,4595085235,1.822566900,41.501368000,cpbrianshomes@xarxaomnia.gencat.cat,,10/19/2023 09:55:52 AM,,POINT (1.8225669 41.50137)
383855,Punt Òmnia Centre Penitenciari Quatre Camins,Punt Òmnia Centre Penitenciari Quatre Camins,Tecnologia. Innovació|Punt TIC||,," Crt. Masnou a Granollers, Km 13,4",,,,,,,,8430,"Roca del Vallès, la",81810,Vallès Oriental,93 842 24 61,,,440426414,4604879081,2.285200000,41.593390000,cp4camins@xarxaomnia.gencat.cat,,10/19/2023 09:55:49 AM,,POINT (2.2852 41.59339)
384404,Centre Cívic Sant Joan de les Abadesses,Centre Cívic Sant Joan de les Abadesses,Tecnologia. Innovació|Punt TIC||,," Crta de Camprodon, 8 baixos",,,,,,,,17860,Sant Joan de les Abadesses,171674,Ripollès,972722357,,,440985852,4675817751,2.284815000,42.232312900,centrecivic@santjoandelesabadesses.com,,10/19/2023 09:55:53 AM,,POINT (2.284815 42.23231)
384335,Punt TIC de Clariana de Cardener,Punt TIC de Clariana de Cardener,Tecnologia. Innovació|Punt TIC||,," Crta. C-55, km. 68",,,,,,,,25290,Clariana de Cardener,250753,Solsonès,973482804,,,380684313,4647794638,1.559918100,41.973119500,ajuntament@clarianacardener.ddl.net,,10/19/2023 09:55:43 AM,,POINT (1.559918 41.973118)
383770,Oficina Jove!,Oficina Jove!,Tecnologia. Innovació|Punt TIC||,," Crta. Camarassa, s/n",,,,,,,,25600,Balaguer,250404,Noguera,973447570,,,318528922,4629301869,0.815849180,41.794822786,contacta@noguerajove.cat,,10/19/2023 09:55:49 AM,,POINT (0.8158492 41.794823)
1283274,A0442001 A ,A0442001 A ,Justícia|Jutjats de pau||,," Crta. de Balenyà, 101 1r (Edifici Cultural Can Costa i Font)",,,,,,,,8552,Taradell,82785,Osona,,,,440637559,4635739651,2.284656000,41.871348000,,,07/18/2024 07:02:14 AM,,POINT (2.284656 41.87135)
574694,Jutjat de Pau de Taradell,Jutjat de Pau de Taradell,Justícia|Jutjats de pau||,," Crta. de Balenyà, 101 1r (Edifici Cultural Can Costa i Font)",,,,,,,,8552,Taradell,82785,Osona,938126308,,93 8126308,440637559,4635739651,2.284656000,41.871348000,,,07/18/2024 07:02:46 AM,,POINT (2.284656 41.87135)
574260,Jutjat de Pau de Masies de Roda,Jutjat de Pau de Masies de Roda,Justícia|Jutjats de pau||,," Crta. de Manlleu a Roda, s/n",,,,,,,,8510,"Masies de Roda, les",81167,Osona,938540025,,,442604180,4648883254,2.307073000,41.989866000,,,07/18/2024 07:02:50 AM,,POINT (2.307073 41.989864)
