"zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
1841255,"Junta Arbitral de Consum de Catalunya","Junta Arbitral de Consum de Catalunya","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Plaça de Pompeu Fabra",,1,,,17002,"Girona",170792,"Gironès","+34-872975000","+34-872975424",485271265,4647689855,"2.822207288","41.981071058",,,"04/02/2024 07:01:27 AM",,"POINT (2.8222072 41.98107)"
1841257,"Junta Arbitral de Consum de Catalunya ","Junta Arbitral de Consum de Catalunya ","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Carrer de Pompeu Fabra",,1,,,43004,"Tarragona",431482,"Tarragonès","+34-977251717","+34-977251725",353298648,4552762012,"1.252715763","41.112906788",,,"04/02/2024 07:01:27 AM",,"POINT (1.2527157 41.112907)"
1841258,"Junta Arbitral de Consum de Catalunya ","Junta Arbitral de Consum de Catalunya ","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Plaça de Gerard Vergès ",,1,,,43500,"Tortosa",431554,"Baix Ebre","+34-977441234","+34-977441943",291070332,4520881907,"0.522870237","40.812373134","consumTerresEbre@gencat.cat",,"04/02/2024 07:01:27 AM",,"POINT (0.52287024 40.812374)"
1841261,"Junta Arbitral de Consum de Lleida","Junta Arbitral de Consum de Lleida","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Avinguda de Tortosa",,2,,,25005,"Lleida",251207,"Segrià","+34-973700424","+34-973700484",303104816,4610184769,"0.636666888","41.619101388","junta.arbitral@paeria.cat",,"04/02/2024 07:01:27 AM",,"POINT (0.6366669 41.619102)"
1841256,"Junta Arbitral de Consum de Catalunya","Junta Arbitral de Consum de Catalunya","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Avinguda del Segre",,7,,,25007,"Lleida",251207,"Segrià","+34-973728000","+34-973727778",302759411,4609953374,"0.632600594","41.616933649",,,"04/02/2024 07:01:27 AM",,"POINT (0.6326006 41.616932)"
1841265,"Junta Arbitral de Consum de Vilafranca del Penedès","Junta Arbitral de Consum de Vilafranca del Penedès","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Carrer de Cort",,14,,,"08720","Vilafranca del Penedès",83054,"Alt Penedès","+34-938920358","+34-938181870",391072069,4578039157,"1.697976573","41.346486062","jac@vilafranca.org",,"04/02/2024 07:01:27 AM",,"POINT (1.6979766 41.346485)"
1841179,"Junta Arbitral de Consum de Catalunya","Junta Arbitral de Consum de Catalunya","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Carrer del Foc",,56,,,"08038","Barcelona",80193,"Barcelonès","+34-93857400","93857400",428031172,4578558937,"2.139629735","41.355317517",,,"04/02/2024 07:01:30 AM",,"POINT (2.1396298 41.355316)"
1841262,"Junta Arbitral de Consum de Mataró","Junta Arbitral de Consum de Mataró","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Avinguda de Josep Puig i Cadafalch",,101,,,"08303","Mataró",81213,"Maresme","+34-937582321","+34-937582320",452345605,4598862717,"2.428683569","41.540001390","jacmataro@ajmataro.cat",,"04/02/2024 07:01:27 AM",,"POINT (2.4286835 41.54)"
1841263,"Junta Arbitral de Consum de Sabadell","Junta Arbitral de Consum de Sabadell","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Carrer Tres Creus",,202,,,"08203","Sabadell",81878,"Vallès Occidental","+34-937453168","+34-937453170",426340566,4599759032,"2.116835238","41.546102520","jac@ajsabadell.cat",,"04/02/2024 07:01:27 AM",,"POINT (2.1168354 41.5461)"
1841264,"Junta Arbitral de Consum de Terrassa","Junta Arbitral de Consum de Terrassa","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Carretera de Montcada",,596,,,"08223","Terrassa",82798,"Vallès Occidental","+34-937315982","+34-937366692",418956656,4601245449,"2.028114518","41.558775334","consum@terrassa.cat",,"04/02/2024 07:01:27 AM",,"POINT (2.0281146 41.558777)"
1841260,"Junta Arbitral de Consum de Barcelona","Junta Arbitral de Consum de Barcelona","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Ronda de Sant Pau",,"43-45",,,"08015","Barcelona",80193,"Barcelonès","+34-934023344","+34-934027847",430173869,4580955345,"2.164966600","41.377089900","junta-arbitral@bcn.cat",,"04/02/2024 07:01:27 AM",,"POINT (2.1649666 41.37709)"
1841259,"Junta Arbitral de Consum de Badalona","Junta Arbitral de Consum de Badalona","Comerç. Consum|Juntes arbitrals de consum||",,,,"customer_service",,"Plaça de l'Assemblea de Catalunya",,"9-12",,,"08911","Badalona",80155,"Barcelonès","+34-934832743","+34-934832949",437283722,4589275675,"2.249121600","41.452615100","jac@badalona.cat",,"04/02/2024 07:01:27 AM",,"POINT (2.2491217 41.452614)"
1841307,"Ofideute (Girona)","Ofideute (Girona)","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Plaça de Pompeu Fabra",,1,,,17002,"Girona",170792,"Gironès","+34-872975000","872975000",485271265,4647689855,"2.822207288","41.981071058",,,"04/02/2024 07:01:26 AM",,"POINT (2.8222072 41.98107)"
1841342,"Oficina Comarcal d'Informació al Consumidor del Segrià","Oficina Comarcal d'Informació al Consumidor del Segrià","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Passeig de Balmes",,3,,,25200,"Cervera",250729,"Segarra","+34-973531300","973531300",356425024,4614667742,"1.275262482","41.670837927","consum@segria.cat",,"04/02/2024 07:01:31 AM","Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (1.2752625 41.670837)"
1841172,"Oficina Comarcal d'Informació al Consumidor de La Cerdanya","Oficina Comarcal d'Informació al Consumidor de La Cerdanya","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Plaça del Rec",,5,,,17520,"Puigcerdà",171411,"Cerdanya","+34-972884884","+34-972882283",411584616,4698590432,"1.925069044","42.434596155","ocic@cerdanya.org",,"04/02/2024 07:01:30 AM","Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (1.9250691 42.434597)"
1841309,"Ofideute (Tarragona)","Ofideute (Tarragona)","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Carrer del Cardenal Vidal i Barraquer",,14,,,43004,"Tarragona",431482,"Tarragonès","+34-977247036","977247036",352263080,4553277797,"1.240263136","41.117363125",,,"04/02/2024 07:01:26 AM",,"POINT (1.2402631 41.117363)"
1841193,"Oficina Municipal d'Informació al Consumidor del Masnou","Oficina Municipal d'Informació al Consumidor del Masnou","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Carrer de Roger de Flor",,23,,,"08320","Masnou, el",81189,"Maresme","+34-935571800","+34-935571701",443064214,4592234595,"2.318045100","41.479696600","omic@elmasnou.cat","http://elmasnou.cat/omic-oficina-municipal-informacio-sobre-consum","04/02/2024 07:01:29 AM","Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (2.3180451 41.4797)"
16140497,"Oficina Municipal d'Informació A Les Persones Consumidores de Pallejà","Oficina Municipal d'Informació A Les Persones Consumidores de Pallejà","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Avinguda de Prat de la Riba",,27,,,"08780","Pallejà",81574,"Baix Llobregat","+34-936631540","936631540",416227867,4586061091,"1.997505805","41.421742487","adel.palleja@palleja.cat","http://www.palleja.cat","04/02/2024 07:01:26 AM","Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (1.9975058 41.42174)"
1841239,"Oficina Municipal d'Informació al Consumidor de Vilassar de Mar","Oficina Municipal d'Informació al Consumidor de Vilassar de Mar","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Carrer de Santa Eulàlia",,40,,,"08340","Vilassar de Mar",82191,"Maresme","+34-937540500","937540500",448813858,4594894615,"2.386682175","41.504042939","omic219@vilassardemar.cat","http://www.vilassardemar.cat/directori/oficines-datencio/omic-oficina-municipal-dinformacio-al-consumidor","04/02/2024 07:01:28 AM","Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (2.3866823 41.504044)"
1841310,"Ofideute (Tortosa)","Ofideute (Tortosa)","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Carrer de Maria Rosa Molas",,41,,,43500,"Tortosa",431554,"Baix Ebre","+34-977247036","977247036",290573674,4520107891,"0.517246800","40.805280400",,,"04/02/2024 07:01:26 AM",,"POINT (0.5172468 40.80528)"
1841174,"Oficina Comarcal d'Informació al Consumidor de Les Garrigues","Oficina Comarcal d'Informació al Consumidor de Les Garrigues","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Avinguda de Francesc Macià",,54,,,25400,"Borges Blanques, les",250582,"Garrigues","+34-973142658","+34-973140106",322769232,4597899562,"0.876160000","41.513129900","dinamitzacio@garrigues.cat","http://www.ccgarrigues.com","04/02/2024 07:01:30 AM","Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (0.87616 41.51313)"
