"z_NO_OSM","zref","name","name:ca","zCATEGORIA","amenity","community_centre:for","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
,27041814,"Arxiu Perejaume","Arxiu Perejaume","Cultura|Arxius||","archive",,,,,,"Carrer de Santa Victòria",,1,,,"08395","Sant Pol de Mar",82359,"Maresme","+34-646490129","646490129",415897880,4539238500,"2.000000184","40.999999198","arxiuperejaume@gmail.com","https://arxiu.perejaume.cat/","07/10/2024 07:28:41 AM","Titularitat|Privat: entitats, associacions, fundacions","POINT (2.0000002 41)"
,27044461,"Arxiu Central dels Jutjats del Prat de Llobregat","Arxiu Central dels Jutjats del Prat de Llobregat","Cultura|Arxius||","archive",,,,,,"Plaça de l'Amistat",,1,,,"08820","Prat de Llobregat, el",81691,"Baix Llobregat","+34-675782990","675782990",423440000,4574223500,"2.085296344","41.315846749","arxiu.elprat@xij.gencat.cat",,"07/10/2024 07:21:30 AM","Titularitat|Generalitat de Catalunya: Administració de Justícia","POINT (2.0852964 41.315845)"
,27043048,"Arxiu Municipal de Sils","Arxiu Municipal de Sils","Cultura|Arxius||","archive",,,,,,"Avinguda de la Costa Brava",,1,,,17410,"Sils",171931,"Selva","+34-676705797","676705797",478795800,4628540500,"2.744729346","41.808450062","arxiu@sils.cat","http://www.sils.cat/","07/10/2024 07:31:41 AM","Titularitat|Administració local: municipal","POINT (2.7447293 41.80845)"
,27044144,"Arxiu Central Administratiu de la Delegació Territorial del Govern de la Generalitat a Girona","Arxiu Central Administratiu de la Delegació Territorial del Govern de la Generalitat a Girona","Cultura|Arxius||","archive",,,,,,"Plaça de Pompeu Fabra",,1,,,17002,"Girona",170792,"Gironès","+34-872975000","872975000",485268700,4647688500,"2.822176360","41.981058807","arxiu.generalitatgirona@gencat.cat",,"07/10/2024 07:22:26 AM","Titularitat|Generalitat de Catalunya: administratiu territorial","POINT (2.8221765 41.98106)"
,27041548,"Arxiu Històric de la Ciutat de Barcelona ","Arxiu Històric de la Ciutat de Barcelona ","Cultura|Arxius||","archive",,,,,,"Carrer de Santa Llúcia",,1,,,"08002","Barcelona",80193,"Barcelonès","+34-932562255","932562255",431083280,4581720000,"2.175753975","41.384055321","arxiuhistoric@bcn.cat","https://ajuntament.barcelona.cat/arxiumunicipal/arxiuhistoric/ca","07/10/2024 07:28:46 AM","Titularitat|Administració local: municipal","POINT (2.175754 41.384056)"
,27041336,"Arxiu Municipal del Districte de Nou Barris","Arxiu Municipal del Districte de Nou Barris","Cultura|Arxius||","archive",,,,,,"Plaça Major de Nou Barris",,1,,,"08042","Barcelona",80193,"Barcelonès","+34-932916838","932916838",430759600,4587581000,"2.171212473","41.436815512","amdnb@bcn.cat","http://ajuntament.barcelona.cat/arxiumunicipal/ca/nou-barris","07/10/2024 07:36:41 AM","Titularitat|Administració local: municipal","POINT (2.1712124 41.436817)"
,27044147,"Arxiu Històric de la Cambra Oficial de Comerç, Indústria i Navegació de Barcelona","Arxiu Històric de la Cambra Oficial de Comerç, Indústria i Navegació de Barcelona","Cultura|Arxius||","archive",,,,,,"Passeig d'Isabel II",,1,,,"08003","Barcelona",80193,"Barcelonès","+34-932956417","932956417",431662380,4581511000,"2.182702921","41.382222317","arxiuhistoric@cambrabcn.org",,"07/10/2024 07:23:20 AM","Titularitat|Corporacions i entitats oficials: altres","POINT (2.182703 41.38222)"
,27042031,"Arxiu de la Reial Acadèmia Catalana de Belles Arts de Sant Jordi","Arxiu de la Reial Acadèmia Catalana de Belles Arts de Sant Jordi","Cultura|Arxius||","archive",,,,,,"Passeig d'Isabel II",,1,,,"08003","Barcelona",80193,"Barcelonès","+34-933192432","933192432",431662380,4581511000,"2.182702921","41.382222317","secretaria@racba.org","https://www.racba.org/","07/10/2024 07:27:21 AM","Titularitat|Corporacions i entitats oficials: acadèmia","POINT (2.182703 41.38222)"
,27044584,"Arxiu Històric de la Ciutat de Badalona","Arxiu Històric de la Ciutat de Badalona","Cultura|Arxius||","archive",,,,,,"Plaça de l'Assemblea de Catalunya",,1,,,"08911","Badalona",80155,"Barcelonès","+34-933841750","933841750",437186600,4589255500,"2.247960987","41.452425795","mcarreras@museudebadalona.cat","https://www.museudebadalona.cat/arxiu/","07/10/2024 07:27:28 AM","Titularitat|Administració local: municipal","POINT (2.247961 41.452427)"
,27044316,"Arxiu General de la Diputació de Barcelona","Arxiu General de la Diputació de Barcelona","Cultura|Arxius||","archive",,,,,,"Carrer de Mejía Lequerica",,1,,,"08028","Barcelona",80193,"Barcelonès","+34-934022265","934022265",426865060,4581721500,"2.125309235","41.383696425","arxiu@diba.cat","http://www.diba.cat/arxiu","07/10/2024 07:34:32 AM","Titularitat|Administració local: diputació provincial","POINT (2.1253092 41.383698)"
,27045868,"Arxiu Central Corporatiu Administratiu i de Gestió de la CCMA","Arxiu Central Corporatiu Administratiu i de Gestió de la CCMA","Cultura|Arxius||","archive",,,,,,"Carrer d'Oriol Martorell",,1,,,"08970","Sant Joan Despí",82172,"Baix Llobregat","+34-934444864","934444864",422101560,4580661000,"2.068481288","41.373697955","arxiucorporatiu@ccma.cat","https://www.ccma.cat","07/10/2024 07:27:47 AM","Titularitat|Generalitat de Catalunya: organismes autònoms i empreses públiques","POINT (2.0684812 41.3737)"
,27041349,"Arxiu Municipal de Santa Coloma de Gramenet","Arxiu Municipal de Santa Coloma de Gramenet","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08921","Santa Coloma de Gramenet",82457,"Barcelonès","+34-934624000","934624000",433841620,4589236000,"2.207918635","41.451981402","delgadosr@gramenet.cat","https://www.gramenet.cat/es/ayuntamiento/areas-municipales/archivo/","07/10/2024 07:27:34 AM","Titularitat|Administració local: municipal","POINT (2.2079186 41.45198)"
,27041826,"Arxiu Audiovisual de la CCMA","Arxiu Audiovisual de la CCMA","Cultura|Arxius||","archive",,,,,,"Carrer d'Oriol Martorell",,1,,,"08970","Sant Joan Despí",82172,"Baix Llobregat","+34-934999426","934999426",422101560,4580661000,"2.068481288","41.373697955","mcatala.r@ccma.cat","https://www.ccma.cat","07/10/2024 07:27:47 AM","Titularitat|Generalitat de Catalunya: organismes autònoms i empreses públiques","POINT (2.0684812 41.3737)"
,27043682,"Arxiu Central dels Jutjats de Cornellà de Llobregat","Arxiu Central dels Jutjats de Cornellà de Llobregat","Cultura|Arxius||","archive",,,,,,"Carrer de Can Rosés",,1,,,"08940","Cornellà de Llobregat",80734,"Baix Llobregat","+34-935517025","935517025",422656120,4578455500,"2.075393194","41.353887622","arxiu.cornella@xij.gencat.cat",,"07/10/2024 07:22:40 AM","Titularitat|Generalitat de Catalunya: Administració de Justícia","POINT (2.0753932 41.35389)"
,27044452,"Arxiu Històric de Mollet del Vallès","Arxiu Històric de Mollet del Vallès","Cultura|Arxius||","archive",,,,,,"Plaça Major",,1,,,"08100","Mollet del Vallès",81249,"Vallès Oriental","+34-935635119","935635119",434102940,4598504500,"2.210033374","41.535480640","arxiu_municipal@molletvalles.cat","http://www.molletvalles.cat/DetallContinguts/_wEovPETJ6tf3VZvwyB9Mn3ud1__vb-lcy89L6gBZElQ","07/10/2024 07:33:18 AM","Titularitat|Administració local: municipal","POINT (2.2100334 41.53548)"
,27043111,"Arxiu Municipal de Sant Cugat del Vallès","Arxiu Municipal de Sant Cugat del Vallès","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08172","Sant Cugat del Vallès",82055,"Vallès Occidental","+34-935657000","935657000",423618940,4591412500,"2.085266104","41.470676004","arxiu@santcugat.cat","https://www.santcugat.cat/web/arxiu","07/10/2024 07:27:14 AM","Titularitat|Administració local: municipal","POINT (2.085266 41.470676)"
,27041619,"Arxiu Municipal de Martorelles","Arxiu Municipal de Martorelles","Cultura|Arxius||","archive",,,,,,"Plaça de l'Ajuntament",,1,,,"08107","Martorelles",81154,"Vallès Oriental","+34-935705732","935705732",436873220,4597387500,"2.243357578","41.525643573","mar.arxiu@martorelles.cat","http://www.martorelles.cat","07/10/2024 07:33:33 AM","Titularitat|Administració local: municipal","POINT (2.2433577 41.525642)"
,27043750,"Arxiu Municipal de Sant Fost de Campsentelles","Arxiu Municipal de Sant Fost de Campsentelles","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08105","Sant Fost de Campsentelles",82093,"Vallès Oriental","+34-935796981","935796981",435994560,4596636000,"2.232906735","41.518805334","ajuntament@santfost.cat","http://www.santfost.cat","07/10/2024 07:32:06 AM","Titularitat|Administració local: municipal","POINT (2.2329068 41.518806)"
,27040957,"Arxiu Municipal de Cerdanyola del Vallès","Arxiu Municipal de Cerdanyola del Vallès","Cultura|Arxius||","archive",,,,,,"Passatge de l'Ajuntament",,1,,,"08290","Cerdanyola del Vallès",82665,"Vallès Occidental","+34-935808888","935808888",428288060,4593603500,"2.140916320","41.490840232","arxiu@cerdanyola.cat","http://www.cerdanyola.cat","07/10/2024 07:34:41 AM","Titularitat|Administració local: municipal","POINT (2.1409163 41.49084)"
,27044730,"Arxiu Administratiu Municipal de Sant Boi de Llobregat","Arxiu Administratiu Municipal de Sant Boi de Llobregat","Cultura|Arxius||","archive",,,,,,"Plaça de l'Ajuntament",,1,,,"08830","Sant Boi de Llobregat",82009,"Baix Llobregat","+34-936351200","936351200",419963300,4577773500,"2.043296067","41.347482126","mrlatorre@santboi.cat","http://www.santboi.cat","07/10/2024 07:32:13 AM","Titularitat|Administració local: municipal","POINT (2.043296 41.34748)"
,27045793,"Arxiu Municipal de Sant Andreu de la Barca","Arxiu Municipal de Sant Andreu de la Barca","Cultura|Arxius||","archive",,,,,,"Plaça de l'Ajuntament",,1,,,"08740","Sant Andreu de la Barca",81960,"Baix Llobregat","+34-936356400","936356400",414075840,4589235000,"1.971305341","41.450099770","arxiu@sabarca.cat","http://www.sabarca.cat/Plantilla3/_2HSVHDbaqr6QD8we4GGpG4-up8w1HJna","07/10/2024 07:32:20 AM","Titularitat|Administració local: municipal","POINT (1.9713054 41.4501)"
,27043715,"Arxiu Municipal de Castelldefels","Arxiu Municipal de Castelldefels","Cultura|Arxius||","archive",,,,,,"Plaça de l'Església",,1,,,"08860","Castelldefels",80569,"Baix Llobregat","+34-936651150","936651150",414314340,4570372500,"1.976825174","41.280245385","arxiu@castelldefels.org","http://arxiu.castelldefels.org/ca/homecat/","07/10/2024 07:36:36 AM","Titularitat|Administració local: municipal","POINT (1.9768251 41.280247)"
