z_NO_OSM,zref,name,name:ca,zCATEGORIA,amenity,admin_level,government,office,chamber,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència,
,27041152,Sala d'Entitats,Sala d'Entitats,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Carrer de la Piscina,,1,,,8733,"Pla del Penedès, el",81640,Alt Penedès,+34-938988003,938988003,392100250,4585947000,1.708855462,41.417837324,pla@diba.cat,http://www.elpladelpenedes.cat,07/10/2024 07:34:29 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.7088555 41.41784)
,27044252,Hotel d'entitats,Hotel d'entitats,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Plaça de la Vila,,1,,,17160,Anglès,170084,Selva,+34-972420058,972420058,470156700,4645104000,2.639890961,41.957353927,info@angles.cat,http://www.angles.cat,07/10/2024 07:35:46 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.639891 41.957355)
,27044544,Local d'Entitats,Local d'Entitats,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Plaça de Catalunya,,1,,,17458,Fornells de la Selva,170736,Gironès,+34-972476515,972476515,484446620,4642134500,2.812399723,41.931019859,ajuntament@fornellsdelaselva.cat,http://www.fornellsdelaselva.cat,07/10/2024 07:34:19 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.8123996 41.93102)
,27042344,Centre d'Entitats les Monges,Centre d'Entitats les Monges,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Plaça de la Nació Catalana,,1,,,25730,Artesa de Segre,250349,Noguera,+34-973400013,973400013,338018880,4640026000,1.047353338,41.895577771,info@artesadesegre.cat,http://www.artesadesegre.cat,07/10/2024 07:35:44 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.0473534 41.895576)
,27043284,Centre d'Entitats,Centre d'Entitats,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Carrer de Colomers,,1,,,43560,"Sénia, la",430445,Montsià,+34-977713000,977713000,270413900,4502009000,0.285127379,40.637029303,cultura@lasenia.cat,http://www.lasenia.cat,07/10/2024 07:33:47 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.28512737 40.637028)
,27045303,Espai d'Entitats de Molló,Espai d'Entitats de Molló,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Carrer de Sant Sebastià,,2,,,17868,Molló,171077,Ripollès,+34-972740387,972740387,450943750,4688550000,2.404407287,42.347664966,biblioteca@mollo.cat,http://www.mollo.cat,07/10/2024 07:33:18 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.4044073 42.347664)
,27045415,Hotel d'Entitats l'Ampolla,Hotel d'Entitats l'Ampolla,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Plaça de Manel Ferré,,2,,,43895,"Ampolla, l'",439060,Baix Ebre,+34-977460018,977460018,307208380,4520653500,0.714126963,40.814265685,aj.ampolla@altanet.org,http://www.ampolla.cat,07/10/2024 07:35:47 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.71412694 40.814266)
,27042908,Casal d'Entitats,Casal d'Entitats,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Avinguda de Sant Jordi,,2,,,43340,Montbrió del Camp,430884,Baix Camp,,,332455250,4554102500,1.004230199,41.120943179,,,07/10/2024 07:24:26 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.0042301 41.120945)
,27042935,Antigues Escoles,Antigues Escoles,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Avinguda de Catalunya,,3,,,43764,"Catllar, el",430430,Tarragonès,,,0,0,0.000000000,0.000000000,,,07/10/2024 07:22:48 AM,Titularitat|Pública   ,
,27045563,Hotel d'Entitats de Banyeres del Penedès,Hotel d'Entitats de Banyeres del Penedès,Cultura|Altres espais aptes per a l'ús cultural|Hotel d'entitats|,,,,,association,,Carrer de Josep Cañas,,4,,,43711,Banyeres del Penedès,430206,Baix Penedès,,,381304300,4570895000,1.582649059,41.280773147,,http://www.banyeresdelpenedes.cat,07/10/2024 07:35:41 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.5826491 41.280773)
