zref,name,name:ca,zCATEGORIA,amenity,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència
546817,Ajuntament de Fogars de Montclús,Ajuntament de Fogars de Montclús,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de les Escoles,,1,,,8470,Fogars de Montclús,80811,Vallès Oriental,+34-938475104,938475104,453705625,4619708981,2.443374713,41.727839763,fogarsm@diba.cat,http://www.fogarsdemontclus.cat/default.php,07/17/2024 07:03:40 AM,,POINT (2.4433746 41.72784)
547589,Ajuntament de Viladasens,Ajuntament de Viladasens,Administració pública|Ens locals|Ajuntaments|,townhall,Carrer del Taronger,,1,,,17464,Viladasens,172168,Gironès,+34-972496150,972496150,494231125,4660409894,2.930237740,42.095751919,,http://www.viladasens.org,07/17/2024 07:02:55 AM,,POINT (2.9302378 42.095753)
547440,Ajuntament de Rupià,Ajuntament de Rupià,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça d'Avall,,1,,,17131,Rupià,171539,Baix Empordà,+34-972769274,972769274,500894469,4652047780,3.010803929,42.020458598,ajuntament@rupia.cat,http://www.rupia.cat,07/17/2024 07:03:17 AM,,POINT (3.010804 42.02046)
546862,Ajuntament de Barcelona,Ajuntament de Barcelona,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de Sant Jaume,,1,,,8002,Barcelona,80193,Barcelonès,+34-934027000,+34-933170139,431198871,4581547395,2.177155909,41.382510611,,http://www.bcn.cat,07/17/2024 07:03:53 AM,,POINT (2.177156 41.38251)
547394,Ajuntament de Tiana,Ajuntament de Tiana,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de la Vila,,1,,,8391,Tiana,82824,Maresme,+34-933955011,+34-934657518,438973379,4592495606,2.269023944,41.481746543,tiana@diba.cat,http://www.tiana.cat/,07/17/2024 07:03:01 AM,,POINT (2.269024 41.481747)
546694,Ajuntament del Masnou,Ajuntament del Masnou,Administració pública|Ens locals|Ajuntaments|,townhall,Passeig de Prat de la Riba,,1,,,8320,"Masnou, el",81189,Maresme,+34-935571700,+34-935571701,443154405,4592171369,2.319131264,41.479133537,alcaldia@elmasnou.cat,http://www.elmasnou.cat,07/17/2024 07:03:31 AM,,POINT (2.3191314 41.479134)
547237,Ajuntament de Montmeló,Ajuntament de Montmeló,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de la Vila,,1,,,8160,Montmeló,81350,Vallès Oriental,+34-935720000,+34-935720420,437301901,4600257529,2.248196040,41.551526513,info@montmelo.cat,http://www.montmelo.cat,07/17/2024 07:03:29 AM,,POINT (2.2481961 41.551525)
547313,Ajuntament de Sant Vicenç dels Horts,Ajuntament de Sant Vicenç dels Horts,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de la Vila,,1,,,8620,Sant Vicenç dels Horts,82634,Baix Llobregat,+34-902515100,+34-936022199,417202676,4582886039,2.009603962,41.393248220,ajuntament@svh.cat,http://www.svh.cat,07/17/2024 07:03:09 AM,,POINT (2.009604 41.39325)
547460,Ajuntament de Sant Boi de Llobregat,Ajuntament de Sant Boi de Llobregat,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de l'Ajuntament,,1,,,8830,Sant Boi de Llobregat,82009,Baix Llobregat,+34-936351200,+34-936301856,419963297,4577773615,2.043296016,41.347483161,santboi@santboi.cat,http://www.stboi.cat,07/17/2024 07:03:16 AM,,POINT (2.043296 41.347485)
547467,Ajuntament de Sant Cugat del Vallès,Ajuntament de Sant Cugat del Vallès,Administració pública|Ens locals|Ajuntaments|,townhall,Plaça de la Vila,,1,,,8172,Sant Cugat del Vallès,82055,Vallès Occidental,+34-935657000,+34-936755406,423618947,4591412719,2.085266160,41.470677976,bustiaciutadana@santcugat.cat,http://www.santcugat.cat,07/17/2024 07:03:16 AM,,POINT (2.085266 41.470676)
