"z_NO_OSM","zref","name","name:ca","zCATEGORIA","amenity","community_centre:for","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
,27041695,"Casal d'avis l'Espiga","Casal d'avis l'Espiga","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Carrer del Camp de Futbol",,1,,,"08275","Monistrol de Calders",81287,"Moianès","+34-938398065","938398065",418243800,4623630500,"2.016504262","41.760299805",,,"07/10/2024 07:24:27 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (2.0165043 41.7603)"
,27044880,"Casal d'Avis","Casal d'Avis","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça de Pau Fontanals",,1,,,"08733","Pla del Penedès, el",81640,"Alt Penedès","+34-938988505","938988505",392254840,4585971000,"1.710700585","41.418074193","aymerichportamarta@gmail.es",,"07/10/2024 07:24:09 AM","Gestio|Privada   |Titularitat|Pública   ","POINT (1.7107006 41.418076)"
,27041509,"Casal d'Avis","Casal d'Avis","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça de la Vila",,1,,,25137,"Corbins",250788,"Segrià","+34-973191007","973191007",308011880,4617996500,"0.693011202","41.690601688",,,"07/10/2024 07:25:19 AM","Gestio|Altres    |Titularitat|Pública   ","POINT (0.6930112 41.6906)"
,27041394,"Llar de Jubilats","Llar de Jubilats","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Carrer Major",,1,,,,"Vilanova de la Barca",252542,"Segrià","+34-973191238","973191238",311119720,4617939500,"0.730345566","41.690832084","ajuntament@vilanovabarca.cat",,"07/10/2024 07:23:38 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (0.73034555 41.69083)"
,27041896,"Llar de Jubilats Sant Roc","Llar de Jubilats Sant Roc","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Carrer de Sant Isidre",,1,,,25341,"Ciutadilla",250740,"Urgell","+34-973303309","973303309",344856970,4602790000,"1.139442453","41.561739581",,,"07/10/2024 07:22:43 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (1.1394424 41.56174)"
,27043668,"Edifici Equipaments i Local Jubilats Vallfogona","Edifici Equipaments i Local Jubilats Vallfogona","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Carrer de Miquel Martí i Pol",,1,,,25680,"Vallfogona de Balaguer",252402,"Noguera","+34-973306138","973306138",318481400,4624447000,"0.816760580","41.751115816","ajuntament@vallfogona.net","http://www.vallfogona.net","07/10/2024 07:29:46 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (0.8167606 41.751118)"
,27044353,"El Casalet","El Casalet","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça Major",,1,,,25265,"Castellnou de Seana",250680,"Pla d'Urgell","+34-973320705","973320705",331049120,4612713500,"0.971149466","41.648269411","ajuntament@castellnouseana.ddl.net",,"07/10/2024 07:22:50 AM","Gestio|Privada   |Titularitat|Pública   ","POINT (0.97114944 41.64827)"
,27042232,"Casal d'Avis","Casal d'Avis","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Avinguda de Sant Isidre",,1,,,25613,"Camarasa",250621,"Noguera","+34-973420009","973420009",323820720,4637878000,"0.876946961","41.873207337","ajuntament@camarasa.cat","http://www.camarasa.cat","07/10/2024 07:35:00 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (0.876947 41.873207)"
,27044987,"LLar del Jubilat de La Fuliola i Boldú","LLar del Jubilat de La Fuliola i Boldú","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça de l'Alcalde Jaume Ferrer",,1,,,25332,"Fuliola, la",250962,"Urgell","+34-973570463","973570463",0,0,"0.000000000","0.000000000",,,"07/10/2024 07:24:57 AM","Gestio|Pública   |Titularitat|Pública   ",
,27041838,"Forn Vell","Forn Vell","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça de la Monja",,1,,,25595,"Tírvia",252213,"Pallars Sobirà","+34-973622073","973622073",355730250,4708457500,"1.243773512","42.515039503","ajuntament@tirvia.ddl.net",,"07/10/2024 07:23:45 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (1.2437735 42.51504)"
,27042517,"Casal Jubilats Vall de Cardós","Casal Jubilats Vall de Cardós","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça de l'Om",,1,,,25570,"Vall de Cardós",259010,"Pallars Sobirà","+34-973623122","973623122",354531200,4713878000,"1.227804296","42.563607588","ajuntament@vallcardos.ddl.net","http://www.vallcardos.cat","07/10/2024 07:29:53 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (1.2278043 42.563606)"
,27045417,"Llar de Jubilats Joan Bañeres i Cateura","Llar de Jubilats Joan Bañeres i Cateura","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Plaça del Peretó",,1,,,25125,"Alguaire",250169,"Segrià","+34-973756139","973756139",299002280,4623528500,"0.582974215","41.738161163",,,"07/10/2024 07:26:38 AM","Gestio|Privada   |Titularitat|Pública   ","POINT (0.5829742 41.738163)"
,27041767,"Casal d'Avis Camarles","Casal d'Avis Camarles","Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|","community_centre","senior",,,,,"Carrer Trenta-Tres",,1,,,43894,"Camarles",439039,"Baix Ebre","+34-977470007","977470007",303340940,4516146000,"0.669727439","40.772775909","aj.camarles@altanet.org",,"07/10/2024 07:25:39 AM","Gestio|Pública   |Titularitat|Pública   ","POINT (0.66972744 40.772778)"
