"zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
3040257,"Confraria de Pescadors del Port de la Selva","Confraria de Pescadors del Port de la Selva","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll d'en Balleu",,4,,,17489,"Port de la Selva, el",171404,"Alt Empordà","+34-972 12 60 12","972 12 60 12",516760250,4687315027,"3.203455313","42.337909021","info@cpportdelaselva.com / comptabilitat@cpportdelaselva.com",,"07/19/2024 07:37:16 AM",,"POINT (3.2034552 42.33791)"
3040241,"Confraria de Pescadors de Pineda de Mar","Confraria de Pescadors de Pineda de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer dels Ciutadans",,8,,,"08397","Pineda de Mar",81635,"Maresme","+34-93 767 17 86","93 767 17 86",474129982,4608492941,"2.689430327","41.627743579","fhorta@telefonica.net",,"07/19/2024 07:37:16 AM",,"POINT (2.6894302 41.627743)"
15399705,"Confraria de Pescadors de Cadaqués","Confraria de Pescadors de Cadaqués","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Avinguda de Caritat Serinyana",,10,,,17488,"Cadaqués",170329,"Alt Empordà","+34-972 25 91 42","972 25 91 42",522788083,4682003062,"3.276417991","42.289915918","cpcadaques@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (3.276418 42.289917)"
3040250,"Confraria de Pescadors de Tossa de Mar","Confraria de Pescadors de Tossa de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de Cadiretes",,17,,37,17320,"Tossa de Mar",172023,"Selva","+34-972 34 17 77","972 34 17 77",493268811,4619531860,"2.919067046","41.727564070",,,"07/19/2024 07:37:16 AM",,"POINT (2.9190671 41.727566)"
3040255,"Confraria de Pescadors de l'Estartit","Confraria de Pescadors de l'Estartit","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer del Ter Vell",,21,,,17258,,,,"+34-972 75 01 25","972 75 01 25",516594991,4655911001,"3.200552772","42.055024364",,,"07/19/2024 07:37:16 AM",,"POINT (3.2005527 42.055023)"
3040232,"Confraria de Pescadors de Calafell","Confraria de Pescadors de Calafell","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de Vilamar",,21,2,,43820,"Calafell",430379,"Baix Penedès","+34-977 69 17 15","977 69 17 15",380126741,4560565999,"1.570619919","41.187585929","cpcalafell@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (1.57062 41.187588)"
3040247,"Confraria de Pescadors de Sitges","Confraria de Pescadors de Sitges","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de la Carreta",,24,,,"08870","Sitges",82704,"Garraf","+34-93 894 00 02","93 894 00 02",400278354,4565576472,"1.810037597","41.235441458","confraria_sitges@yahoo.es",,"07/19/2024 07:37:16 AM",,"POINT (1.8100376 41.235443)"
3040243,"Confraria de Pescadors de Sant Pere de Tortosa i la Ràpita","Confraria de Pescadors de Sant Pere de Tortosa i la Ràpita","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de la Vista Alegre",,28,0,"A",43540,"Sant Carles de la Ràpita",431362,"Montsià","+34-977 74 05 17","977 74 05 17",296326475,4498856318,"0.593416956","40.617315117","santperedelta@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (0.5934169 40.617313)"
3040239,"Confraria de Pescadors de Montgat - El Masnou - Premià de Mar","Confraria de Pescadors de Montgat - El Masnou - Premià de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de l'Església",,36,1,,"08390","Montgat",81265,"Maresme","+34-93 7442002","93 7442002",440105604,4590900692,"2.282743065","41.467466874",,,"07/19/2024 07:37:16 AM",,"POINT (2.282743 41.46747)"
3040237,"Confraria de Pescadors de Malgrat de Mar","Confraria de Pescadors de Malgrat de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de Sant Elm",,36,,,"08380","Malgrat de Mar",81108,"Maresme","+34-93 761 20 01","93 761 20 01",478849972,4610263155,"2.746030645","41.643827282",,,"07/19/2024 07:36:41 AM",,"POINT (2.7460306 41.643826)"
3040238,"Confraria de Pescadors de Mataró","Confraria de Pescadors de Mataró","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Avinguda del Maresme",,281,,,"08301","Mataró",81213,"Maresme","+34-93 796 37 08","93 796 37 08",453943583,4598372763,"2.447877987","41.535681971","copemar22@hotmail.com",,"07/19/2024 07:37:16 AM",,"POINT (2.447878 41.535683)"
