"IDEQUIPAMENT"	"ALIES"	"NOM"	"CATEGORIA"	"TIPUS_VIA"	"VIA"	"TIPUS_VIAREAL"	"2TIPUS_VIA"	"2VIA"	"2SUFIX_VIA"	"NUM"	"CPOSTAL"	"POBLACIO"	"CODI_MUNICIPI"	"COMARCA"	"TELEFON1"	"TELEFON2"	"FAX"	"UTMX"	"UTMY"	"LONGITUD"	"LATITUD"	"EMAIL"	"WEB"	"DATA_MODIFICACIO"	"PROPIETATS"	"Georeferència"
574194	"Jutjat de Pau de Castellbisbal"	"Jutjat de Pau de Castellbisbal"	"Justícia|Jutjats de pau||"	"av."		"Avinguda"	"de"	" Pau Casals"		9	8755	"Castellbisbal"	80543	"Vallès Occidental"	937721016		937723581	415052648	4592111642	"1.982593117"	"41.476111038"			"07/18/2024 07:02:51 AM"		"POINT (1.982593 41.476112)"
1284007	"Registre Civil"	"Registre Civil"	"Justícia|Jutjats i tribunals||"	"av."		"Avinguda"	"dels"	" Pavos"		28	17300	"Blanes"	170237	"Selva"	972348297		972347105	482076087	4613663398	"2.784667524"	"41.674532810"			"07/18/2024 07:02:04 AM"		"POINT (2.7846675 41.674534)"
1841329	"Cus:Salut, Consum i Alimentació"	"Cus:Salut, Consum i Alimentació"	"Comerç. Consum|Organitzacions de persones consumidores||"	"av."		"Avinguda"	"del"	" Portal de l'Àngel"		7	8002	"Barcelona"	80193	"Barcelonès"	933024138		933178575	430916251	4581821573	"2.173744921"	"41.384955832"	"consum@cus-usuaris.org"	"http://www.cus-usuaris.org"	"04/02/2024 07:01:31 AM"		"POINT (2.173745 41.384956)"
2825870	"PUNT D'ATENCIÓ TURÍSTICA DE COSTA DEL ZÈFIR"	"PUNT D'ATENCIÓ TURÍSTICA DE COSTA DEL ZÈFIR"	"Turisme|Oficines de Turisme de la Xarxa|Altres Oficines de Turisme|"	"av."		"Avinguda"		"de Costa Zèfir"		0	43300	"Mont-roig del Camp"	430923	"Baix Camp"	977810564			326902389	4543107298	"0.941216869"	"41.020796572"	"turisme@mont-roig.com"	"http://www.mont-roigmiami.cat"	"07/19/2024 07:51:53 AM"	"Marca_Turistica|COSTA DAURADA"	"POINT (0.9412169 41.020798)"
3044374	"Escola Tècnica Superior d'Enginyeria Industrial de Barcelona (UPC)"	"Escola Tècnica Superior d'Enginyeria Industrial de Barcelona (UPC)"	"Universitats|Facultats i escoles|Escoles|"			"Avinguda"	"Avinguda"	"  Diagonal"		647	8028	"Barcelona"	80193	"Barcelonès"	"93 401 66 15"		"93 401 66 00"	426102780	4582101000	"2.116147147"	"41.387044758"		"https://etseib.upc.edu/ca"	"07/19/2024 07:40:46 AM"		"POINT (2.116147 41.387043)"
27042232	"Casal d'Avis"	"Casal d'Avis"	"Cultura|Altres espais aptes per a l'ús cultural|Llar de jubilats|"		" Av. Sant Isidre 1"					1	25613	"Camarasa"	250621	"Noguera"	973420009			323820720	4637878000	"0.876946961"	"41.873207337"	"ajuntament@camarasa.cat"	"http://www.camarasa.cat"	"07/10/2024 07:35:00 AM"	"Gestio|Pública   |Titularitat|Pública   "	"POINT (0.876947 41.873207)"
22324903	"Llar inf. rural Montxic"	"Llar inf. rural Montxic"	"Educació. Formació|Educació infantil de 1r cicle (EINF1C)||"		" c. Anselm Clavé, 5"						8710	"Santa Margarida de Montbui"	82508	"Anoia"				383545600	4601539100	"1.603505000"	"41.557047000"	"a8077897@xtec.cat"		"06/12/2024 07:33:05 AM"	"Codi Territorial|Penedès|Naturalesa|Públic|Titularitat|Corporacions Locals"	"POINT (1.603505 41.55705)"
3623507	"Farmàcia Mohamed Kasem Al Barody, Sara"	"Farmàcia Mohamed Kasem Al Barody, Sara"	"Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Farmàcies||"		" TO DE TAPIOLES, 27"						8033	"Barcelona"	80193	"Barcelonès"	932456531			431799747	4590526603	"2.183328843"	"41.463434445"			"07/19/2024 07:53:59 AM"		"POINT (2.1833289 41.463436)"
573216	"Jutjat de Pau de Llançà"	"Jutjat de Pau de Llançà"	"Justícia|Jutjats de pau||"		" Selva, 17-19, 2n"						17490	"Llançà"	170926	"Alt Empordà"	972380181		972381258	513183422	4690560853	"3.160110000"	"42.367210000"			"07/18/2024 07:02:44 AM"		"POINT (3.16011 42.36721)"
29650306	"Salesians Sabadell"	"Salesians Sabadell"	"Educació. Formació|Educació primària (EPRI)||Educació. Formació|Educació infantil de 2n cicle (EINF2C)||Educació. Formació|Educació secundària obligatòria (ESO)||"		" pg. Gaudí, 2"						8203	"Sabadell"	81878	"Vallès Occidental"	937257799		937257799	426454000	4599068000	"2.118282000"	"41.539892000"	"a8024340@xtec.cat"		"06/12/2024 07:51:26 AM"	"Codi Territorial|Vallès Occidental|Naturalesa|Privat|Titularitat|Ordes i Congregacions Catòlics"	"POINT (2.118282 41.53989)"
