z_NO_OSM,zref,name,name:ca,zCATEGORIA,amenity,community_centre,community_centre:for,admin_level,government,office,chamber,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència
,27045555,Sala Per Joves,Sala Per Joves,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Plaça Vella,,4,,,17469,Riumors,171518,Alt Empordà,,,503551380,4674964500,3.043035124,42.226849854,,,07/10/2024 07:21:13 AM,Gestio|Altres    |Titularitat|Altres    ,POINT (3.043035 42.22685)
,27043963,Sala de l'Antic Sindicat,Sala de l'Antic Sindicat,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Raval del Raval de la Creu,,9,,,43811,Cabra del Camp,430363,Alt Camp,+34-977631292,977631292,355834250,4584112500,1.275492985,41.395633326,aj.cabra@altanet.org,http://www.cabra.oasi.org,07/10/2024 07:35:16 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.275493 41.395634)
,27043579,Local Social,Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carretera ,,19,,,25222,Sidamon,252056,Pla d'Urgell,+34-973560421,973560421,0,0,0.000000000,0.000000000,ajuntament@sidamon.cat,,07/10/2024 07:20:43 AM,Gestio|Pública   |Titularitat|Pública   ,
,27042715,Sala Cultural de la Joncosa,Sala Cultural de la Joncosa,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carrer Major,,27,,,43718,"Montmell, el",430901,Baix Penedès,+34-977688429,977688429,370557120,4574921500,1.453502999,41.315378453,aj.montmell@altanet.org,http://elmontmell.cat,07/10/2024 07:36:16 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.453503 41.31538)
,27040873,"Casal ""Les Cotxeres"" de Canyamars","Casal ""Les Cotxeres"" de Canyamars","Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carrer Major,,45,,,8318,Dosrius,80752,Maresme,+34-937955850,937955850,453936620,4605619500,2.447238426,41.600952400,,,07/10/2024 07:22:38 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.4472384 41.600952)
,27045144,Casa de les Aigües de Montcada i Reixac,Casa de les Aigües de Montcada i Reixac,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carrer de la Ribera,yes,,,,8110,Montcada i Reixac,81252,Vallès Occidental,+34-610144499,610144499,432292100,4592294500,2.189025576,41.479398877,museumunicipal@montcada.org,https://www.montcada.cat/temes/museu/,07/10/2024 07:27:29 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.1890256 41.4794)
,27044967,El Cau,El Cau,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carrer del Raval,yes,,,,8281,Sant Pere Sallavinera,81897,Anoia,+34-938698830,938698830,381314340,4621571500,1.572779992,41.737099250,st.peres@diba.es,,07/10/2024 07:20:52 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.57278 41.7371)
,27045070,Local Social de Sant Pere Sallavinera,Local Social de Sant Pere Sallavinera,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Carrer del Raval,yes,,,,8281,Sant Pere Sallavinera,81897,Anoia,+34-938698830,938698830,381314340,4621571500,1.572779992,41.737099250,st.peres@diba.es,,07/10/2024 07:20:52 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.57278 41.7371)
,27044087,Casal Social,Casal Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Plaça del Casal,yes,,,,25184,Massalcoreig,251312,Segrià,+34-973793601,973793601,279386750,4592918000,0.358588535,41.457536147,ajuntament@massalcoreig.cat,http://www.massalcoreig.cat,07/10/2024 07:33:31 AM,Gestio|Altres    |Titularitat|Altres    ,POINT (0.35858855 41.457535)
,27042772,Cinema Teatre del Foment Municipal de Cultura,Cinema Teatre del Foment Municipal de Cultura,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura||",community_centre,cultural_centre,,,,,,Plaça d'Orentes,yes,,,,43430,Vimbod�� i Poblet,431763,Conca de Barberà,+34-977878242,977878242,336796000,4585402000,1.047529851,41.403604296,alfonsalsamora@terra.es,http://www.cinemafoment.com,07/10/2024 07:34:39 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.0475298 41.403603)
