z_NO_OSM,zref,name,name:ca,zCATEGORIA,amenity,community_centre,community_centre:for,admin_level,government,office,chamber,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència
a,27043753,Casal Cultural,Casal Cultural,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de Sant Martí,,1,,,25221,"Alamús, els",250045,Segrià,+34-97319313,97319313,0,0,0.000000000,0.000000000,ajuntament@alamus.ddl.net,,07/10/2024 07:23:34 AM,Gestio|Pública   |Titularitat|Pública   ,
a,27042230,Casal Cívic la Mina,Casal Cívic la Mina,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Ponent,,1,,,8930,Sant Adrià de Besòs,81944,Barcelonès,+34-933810133,933810133,434776970,4585560500,2.219512793,41.418953768,cc.lamina@gencat.net,,07/10/2024 07:23:58 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.2195127 41.418953)
a,27042455,Centre Cívic Salut Alta,Centre Cívic Salut Alta,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Víctor Balaguer,,1,,,8914,Badalona,80155,Barcelonès,+34-933980671,933980671,435024120,4588444500,2.222160011,41.444949200,,,07/10/2024 07:23:27 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.22216 41.44495)
a,27044305,Casal Cívic Sant Adrià de Besòs,Casal Cívic Sant Adrià de Besòs,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Jaume Huguet,,1,,,8930,Sant Adrià de Besòs,81944,Barcelonès,+34-934620801,934620801,434427970,4585644500,2.215327775,41.419681929,cc.sanadriabesos@gencat.cat,,07/10/2024 07:36:41 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.2153277 41.41968)
a,27045456,Centre Cultural la Llagosta,Centre Cultural la Llagosta,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de l'Alcade Sisó Pons,,1,,,8120,"Llagosta, la",81056,Vallès Oriental,+34-935451560,935451560,432927060,4596241000,2.196190738,41.514996675,cultura@llagosta.cat,http://www.llagosta.cat,07/10/2024 07:33:41 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.1961908 41.514996)
a,27045802,Centre Cívic Santa Maria de Martorelles,Centre Cívic Santa Maria de Martorelles,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de Mossen Josep Paituvi,,1,,,8106,Santa Maria de Martorelles,82567,Vallès Oriental,+34-935707840,935707840,437730560,4596738000,2.253700097,41.519860900,,,07/10/2024 07:20:47 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.2537 41.51986)
a,27043010,Centre Cívic El Palau,Centre Cívic El Palau,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Parc de la Vall del Palau,,1,,,8740,Sant Andreu de la Barca,81960,Baix Llobregat,+34-936822371,936822371,413949120,4588984000,1.969824232,41.447825670,cultura@sabarca.cat,http://www.sabarca.cat,07/10/2024 07:32:22 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.9698242 41.447826)
a,27042325,Centre Cívic de Gràcia,Centre Cívic de Gràcia,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça del Treball,,1,,,8205,Sabadell,81878,Vallès Occidental,+34-937109060,937109060,425128060,4598810000,2.102417397,41.537442708,districte5@ajsabadell.cat,http://www.sabadell.cat,07/10/2024 07:32:24 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.1024175 41.53744)
a,27041083,Centre Cívic Creu de Barberà,Centre Cívic Creu de Barberà,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de Castelao,,1,,,8204,Sabadell,81878,Vallès Occidental,+34-937116857,937116857,426650530,4597615000,2.120812791,41.526821134,districte6@ajsabadell.cat,http://www.sabadell.cat,07/10/2024 07:32:24 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.120813 41.52682)
a,27045545,Centre Cívic de Can Puiggener,Centre Cívic de Can Puiggener,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça del Primer de Maig,,1,,,8208,Sabadell,81878,Vallès Occidental,+34-937237809,937237809,425277560,4601883000,2.103827241,41.565132949,ccivics@ajsabadell.cat,http://www.sabadell.cat,07/10/2024 07:32:24 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.1038272 41.565132)
a,27041311,Local Social Can Corbera,Local Social Can Corbera,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Camí de Can Buixeres,,1,,,8232,Viladecavalls,83008,Vallès Occidental,+34-937340308,937340308,413177840,4601904500,1.958729330,41.564104087,,,07/10/2024 07:23:39 AM,Gestio|Altres    |Titularitat|Pública   ,POINT (1.9587294 41.564106)
